"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-01","0.83","90","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-02","0.00","89","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-03","0.17","87","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-04","0.02","92","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-05","0.00","92","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-06","0.06","90","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-07","0.02","90","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-08","0.87","89","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-09","0.00","90","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-10","2.65","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-11","0.51","88","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-12","0.00","90","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-13","0.00","91","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-14","0.23","89","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-15","0.35","84","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-16","0.47","87","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-17","1.17","91","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-18","1.15","90","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-19","0.76","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-20","0.04","87","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-21","1.80","84","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-22","1.09","83","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-23","2.07","83","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-24","0.48","84","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-25","0.39","84","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-26","1.01","89","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-27","0.00","90","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-28","0.06","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-29","0.13","91","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-30","0.83","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-01-31","0.22","90","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-01","0.01","91","79"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-02","0.55","92","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-03","0.00","93","80"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-04","0.16","88","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-05","0.20","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-06","0.76","91","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-07","1.28","89","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-08","0.16","83","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-09","1.03","89","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-10","0.62","88","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-11","0.17","88","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-12","2.54","87","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-13","0.77","88","72"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-14","1.73","85","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-15","0.28","85","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-16","0.91","85","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-17","3.80","83","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-18","2.61","88","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-19","0.33","89","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-20","0.01","89","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-21","0.00","90","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-22","0.00","89","82"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-23","0.06","89","81"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-24","2.28","86","73"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-25","0.63","88","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-26","0.72","86","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-27","1.20","82","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-28","3.28","84","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-02-29","0.19","85","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-01","0.65","85","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-02","1.71","81","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-03","1.63","83","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-04","3.27","82","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-05","0.06","88","74"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-06","1.05","91","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-07","0.14","87","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-08","0.00","87","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-09","0.00","87","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-10","0.34","86","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-11","0.36","88","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-12","0.31","89","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-13","0.24","86","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-14","0.51","85","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-15","0.14","86","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-16","0.01","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-17","0.13","91","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-18","0.73","90","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-19","0.20","90","78"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-20","0.20","84","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-21","0.03","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-22","0.17","89","77"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-23","0.76","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-24","0.22","90","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-25","0.17","89","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-26","0.21","91","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-27","0.25","88","75"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-28","0.06","90","76"
"ASN00014015","DARWIN AIRPORT, AS","2000-03-29","0.23","91","74"
